,date_of_price,name,distillery,age,vintage,bottled,ABV,ml,numbered,limited_edition,single_cask,ichiros_malt,latest_price
209,2019-10-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 293 Bottles (Cask 2650)",Chichibu,5.0,2010.0,2015.0,59.3,700,True,False,True,True,881
210,2020-06-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 349 Bottles (Cask 6093)",Chichibu,10.0,2000.0,2010.0,59.0,700,True,False,True,True,917
211,2021-05-01,"Chichibu, Single Cask, One of 200 Bottles (Cask 2074)",Chichibu,7.0,2012.0,2019.0,62.0,700,True,False,True,False,1473
212,2020-01-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 245 Bottles (Cask 1476)",Chichibu,6.0,2011.0,2017.0,62.1,700,True,False,True,True,907
213,2019-12-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 1766)",Chichibu,6.0,2012.0,2018.0,59.0,700,False,False,True,True,1071
214,2021-05-01,"Chichibu, Single Cask, One of 153 Bottles (Cask 2279)",Chichibu,7.0,2012.0,2019.0,60.4,700,True,False,True,False,1620
215,2021-03-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 80 Bottles (Cask 1965)",Chichibu,,2012.0,,62.0,700,True,False,True,True,961
216,2021-05-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 227 Bottles (Cask 1865)",Chichibu,,2012.0,,62.1,700,True,False,True,True,1593
217,2020-01-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 194 Bottles (Cask 5028)",Chichibu,7.0,2011.0,2018.0,60.0,700,True,False,True,True,1036
218,2021-01-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 198 Bottles (Cask 1767)",Chichibu,6.0,2012.0,2019.0,60.2,700,True,False,True,True,1014
219,2021-02-01,"Chichibu, Single Cask, One of 190 Bottles (Cask 1788)",Chichibu,,2012.0,,62.3,700,True,False,True,False,1253
220,2020-04-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 223 Bottles (Cask 1320)",Chichibu,6.0,2011.0,2017.0,60.2,700,True,False,True,True,836
221,2021-05-01,"Chichibu, Single Cask (Fantasista Utamaro), One of 210 Bottles (Cask 5080)",Chichibu,,2011.0,,60.0,700,True,False,True,False,1294
222,2020-03-01,"Chichibu, Single Cask  (Ichiro´s Malt), (Cask 1718)",Chichibu,,,,59.0,700,False,False,True,True,1015
223,2017-12-01,"Chichibu, Single Cask (Ichiro´s Malt & Grain), One of 252 Bottles (Cask 4504)",Chichibu,,,2017.0,55.5,700,True,False,True,True,246
224,2021-01-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 218 Bottles (Cask 1293)",Chichibu,6.0,2011.0,2017.0,59.2,700,True,False,True,True,1171
225,2021-01-01,"Chichibu, Single Cask, One of 308 Bottles (Cask 2530)",Chichibu,6.0,2013.0,2019.0,63.6,700,True,False,True,False,832
226,2020-10-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 197 Bottles (Cask 183)",Chichibu,7.0,2008.0,2015.0,62.2,700,True,False,True,True,1062
227,2021-04-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 303 Bottles (Cask 2642)",Chichibu,5.0,2010.0,2015.0,59.5,700,True,False,True,True,1400
228,2020-11-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 286 Bottles (Cask 2649)",Chichibu,7.0,2010.0,2017.0,59.6,700,True,False,True,True,859
229,2018-08-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 275 Bottles (Cask 2640)",Chichibu,4.0,2010.0,2014.0,59.7,700,True,False,True,True,638
230,2017-07-01,"Chichibu, Single Cask, One of 313 Bottles",Chichibu,4.0,2011.0,2015.0,69.2,700,True,False,True,False,509
231,2019-11-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 310 Bottles (Cask 7255)",Chichibu,,,,58.8,700,True,False,True,True,692
232,2021-04-01,"Chichibu, Single Cask, (Cask 3075)",Chichibu,6.0,2013.0,2019.0,63.0,700,False,False,True,False,796
233,2021-04-01,"Chichibu, Single Cask, One of 251 Bottles (Cask 1173)",Chichibu,8.0,2011.0,2019.0,50.5,700,True,False,True,False,923
234,2021-05-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 284 Bottles (Cask 2634)",Chichibu,8.0,2010.0,2018.0,59.7,700,True,False,True,True,1529
235,2018-05-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 230 Bottles (Cask 5047)",Chichibu,,2012.0,,61.6,700,True,False,True,True,476
236,2020-08-01,"Chichibu, Single Cask (Fantasista Utamaro), One of 216 Bottles (Cask 1296)",Chichibu,,2011.0,,58.8,700,True,False,True,False,1069
237,2020-05-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 654)",Chichibu,3.0,2010.0,2013.0,61.0,700,False,False,True,True,809
238,2021-05-01,"Chichibu, Shinanoya, Single Cask (Ichiro´s Malt), One of 260 Bottles (Cask 1370)",Chichibu,6.0,2011.0,2017.0,61.3,700,True,False,True,True,3823
239,2021-05-01,"Chichibu, The Whisky Exchange, Single Cask, One of 224 Bottles (Cask 3301)",Chichibu,8.0,2011.0,2019.0,59.2,700,True,False,True,False,1179
240,2021-03-01,"Chichibu, Single Cask Peated (Ichiro´s Malt), One of 232 Bottles (Cask 2655)",Chichibu,4.0,2013.0,2017.0,62.9,700,True,False,True,True,1409
241,2017-07-01,"Chichibu, Single Cask Peated, One of 290 Bottles",Chichibu,4.0,2011.0,2015.0,61.8,700,True,False,True,False,472
242,2020-04-01,"Chichibu, Single Cask Single Cask (Ichiro´s Malt), One of 290 Bottles (Cask 1404)",Chichibu,4.0,2011.0,2015.0,61.8,700,True,False,True,True,1069
243,2021-04-01,"Chichibu, Single ex-Hanyu Cask, One of 336 Bottles (Cask 2085)",Chichibu,7.0,2012.0,2019.0,61.5,700,True,False,False,False,1273
